Log Type,Message,Original URL,Proxy URL,Status Code,Date,Time,Total Time Taken (seconds)
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,1219 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,79 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,16305 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,13725 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,5224 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,2612 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,5224 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,2612 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:52,
Bytes Received,759 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1845 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2612 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2612 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,3918 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2612 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,173 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2431 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,10035 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1711 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2612 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,5224 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,6837 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,991 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,5224 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1306 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,6530 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2333 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,271 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2612 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2597 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,7 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,5224 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,2612 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Bytes Received,1459 bytes received,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Response Downloaded,Response Downloaded,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
Request Left Downloader,Request Left Downloader,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:53,
No Items Scraped,Response received with no items,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,200,2024-12-14,17:38:53,
Item Scraped,Item scraped,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:54,
Item Scraped,Item scraped,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:54,
Item Scraped,Item scraped,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:54,
Item Scraped,Item scraped,https://www.amazon.com/b?node=196609011,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fb%3Fnode%3D196609011&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:54,
Request Scheduled,Request Scheduled,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,Scheduled,2024-12-14,17:38:54,
Request Reached Downloader,Request Reached Downloader,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:54,
Headers Received,Headers Received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,10 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,13151 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,3223 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,16384 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,15541 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,843 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,16384 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,2347 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,1306 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,12731 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,4239 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:55,
Bytes Received,7836 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:56,
Bytes Received,2612 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:56,
Bytes Received,1697 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:56,
Bytes Received,3519 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:56,
Bytes Received,2612 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:56,
Bytes Received,2612 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:56,
Bytes Received,5224 bytes received,https://www.amazon.com/s?k=Baby+Gyms+%26+Playmats&i=baby-products&rh=n%3A196609011&page=2&c=ts&qid=1734197923&ts_id=196609011&ref=sr_pg_2,http://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fs%3Fk%3DBaby%2BGyms%2B%2526%2BPlaymats%26i%3Dbaby-products%26rh%3Dn%253A196609011%26page%3D2%26c%3Dts%26qid%3D1734197923%26ts_id%3D196609011%26ref%3Dsr_pg_2&api_key=191b57436561ccf59beb0095bd745837&country_code=US,,2024-12-14,17:38:56,
